BNetzA_ID,Anmerkung,Baujahr,Betriebstand,Energietraeger,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung
BNA1160,"Keine Stillegung, da KWK-Betrieb",1971,in Betrieb,Laufwasser,Nein,,Ingolstadt,19.8,Donau-Wasserkraft AG,--
BNA1161,"Keine Stillegung, da KWK-Betrieb",1984,in Betrieb,Abfall,Ja,,MVA Ingolstadt,25.5,Zweckverband Müllverwertungsanlage Ingolstadt (MVA Ingolstadt),--
BNA1164,Berechneter Zeitpunkt der Stillegung,2004,in Betrieb,Braunkohle,ja,,P&L Werk Jülich,24.6,Pfeifer & Langen Kommanditgesellschaft,2049
BNA1165,Berechneter Zeitpunkt der Stillegung,2004,in Betrieb,Erdgas,ja,,P&L Werk Appeldorn,11.4,Pfeifer & Langen Kommanditgesellschaft,--
BNA1166,Berechneter Zeitpunkt der Stillegung,1997,in Betrieb,Mineralölprodukte,Nein,,Abfallentsorgungszentrum Asdonkshof,4.8,Kreis Weseler Abfallgesellschaft mbH & Co. KG (KWA),2042
BNA1167,"Keine Stillegung, da KWK-Betrieb",1997,in Betrieb,Abfall,ja,,Abfallentsorgungszentrum Asdonkshof,16.0,Kreis Weseler Abfallgesellschaft mbH & Co. KG (KWA),--
BNA1168,"Keine Stillegung, da KWK-Betrieb",1985,in Betrieb,Abfall,Ja,,Müllheizkraftwerk,14.7,Müllheizkraftwerk Kassel GmbH,--
BNA1169,"Keine Stillegung, da KWK-Betrieb",1975,in Betrieb,Laufwasser,Nein,,Kaufering,16.7,E.ON Kraftwerke GmbH,--
BNA1175,"Keine Stillegung, da KWK-Betrieb",1959,in Betrieb,Laufwasser,Nein,,Unteropfingen,14.2,EnBW Energie Baden-Württemberg AG,--
BNA1181,"Keine Stillegung, da KWK-Betrieb",1951,in Betrieb,Laufwasser,Nein,,Koblenz,16.0,RWE Innogy GmbH,--
BNA1182,Berechneter Zeitpunkt der Stillegung,1965,in Betrieb,Erdgas,Ja,,HKW Merkenich,15.5,RheinEnergie AG,--
BNA1183,Berechneter Zeitpunkt der Stillegung,2001,in Betrieb,Erdgas,Ja,GuD,HKW Merheim,15.8,RheinEnergie AG,--
BNA1184,"Keine Stillegung, da KWK-Betrieb",1997,in Betrieb,Abfall,Ja,,RMVA Köln,45.1,AVG Köln mbH,--
BNA1185,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Braunkohle,ja,,P&L Werk Könnern,20.3,Pfeifer & Langen Kommanditgesellschaft,2038
BNA1186a,"Keine Stillegung, da KWK-Betrieb",1982,in Betrieb,Abfall,Ja,,MKVA Krefeld,13.5,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,--
BNA1186b,"Keine Stillegung, da KWK-Betrieb",2001,in Betrieb,Abfall,Nein,,MKVA Krefeld,13.8,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,--
